"Texto","Sarcasmo"
"Hoy tengo ganas de ver el partido de mi equipo favorito, espero que ganen.","0"
"Me encanta ir al estadio a ver los partidos, el ambiente es increíble.","0"
"El equipo ha mejorado mucho desde que cambiaron de entrenador.","0"
"Este fin de semana jugaremos un partido de fútbol con mis amigos.","0"
"Ayer el equipo hizo un gran esfuerzo y consiguió una victoria merecida.","0"
"La estrategia del entrenador fue muy acertada, se notó en el resultado final.","0"
"Hoy estuve viendo un documental sobre la historia del fútbol, fue muy interesante.","0"
"El delantero del equipo hizo un gol espectacular en el último minuto.","0"
"El árbitro tuvo un buen desempeño durante todo el partido.","0"
"El equipo rival jugó muy bien, fue un partido muy reñido.","0"
"Hoy tengo un partido de fútbol con mis compañeros de trabajo.","0"
"El equipo ha tenido una temporada increíble, han ganado casi todos los partidos.","0"
"Me encanta seguir las estadísticas y resultados de los partidos.","0"
"Hoy vi un partido entre dos equipos que están peleando por el título.","0"
"El estadio estaba lleno de hinchas apoyando a su equipo, el ambiente era increíble.","0"
"El fútbol es un deporte que une a muchas personas, me encanta ver la pasión de los aficionados.","0"
"El portero hizo varias atajadas impresionantes que salvaron al equipo.","0"
"Estoy ansioso por el próximo partido de mi equipo favorito.","0"
"Me gusta ver cómo los jugadores se esfuerzan por mejorar en cada partido.","0"
"El fútbol es un deporte que disfruto mucho, tanto jugarlo como verlo.","0"
"Hoy me reuní con mis amigos para ver el partido y lo disfrutamos mucho.","0"
"El entrenador ha hecho un gran trabajo con el equipo esta temporada.","0"
"Me gusta ver los resúmenes de los partidos cuando no puedo verlos en directo.","0"
"Este domingo jugaré un partido de fútbol en el parque con mis amigos.","0"
"El equipo ha mostrado una gran mejora en su táctica defensiva.","0"
"Hoy fue un día perfecto para jugar al fútbol, el clima acompañó bastante.","0"
"Me encanta jugar al fútbol los fines de semana con mis amigos, es una buena forma de desconectar.","0"
"Ayer el partido fue muy parejo, ambos equipos tuvieron muchas oportunidades.","0"
"El equipo jugó muy bien en la segunda mitad y consiguió remontar el marcador.","0"
"Este fin de semana se juega el clásico y todos estamos muy emocionados.","0"
"Me gusta ver fútbol con mi familia, todos somos hinchas del mismo equipo.","0"
"Hoy me compré la camiseta nueva de mi equipo favorito.","0"
"Ayer el estadio estaba lleno, fue un partido increíble de principio a fin.","0"
"El fútbol es más que un deporte, es una pasión que comparto con muchos.","0"
"Este domingo tengo entradas para ver el partido en el estadio, estoy muy emocionado.","0"
"El delantero del equipo ha tenido una gran temporada, ha marcado muchos goles.","0"
"Me gusta ver los análisis tácticos de los partidos después de cada jornada.","0"
"Hoy estuve jugando fútbol en el parque con mis amigos, fue muy divertido.","0"
"El equipo ha mostrado una gran mejora en los últimos partidos.","0"
"Estoy siguiendo la liga muy de cerca, todos los partidos están muy emocionantes.","0"
"Me encanta ver cómo los jugadores se esfuerzan al máximo por ganar cada partido.","0"
"El fútbol es un deporte que disfruto mucho, especialmente los partidos decisivos.","0"
"Hoy vi un partido increíble entre dos equipos que luchaban por el campeonato.","0"
"Me gusta mucho la forma en que mi equipo está jugando esta temporada.","0"
"Este fin de semana jugué un partido de fútbol y lo pasé genial.","0"
"El equipo rival jugó muy bien, pero al final conseguimos llevarnos la victoria.","0"
"Hoy tengo un partido importante con mi equipo y estamos listos para ganar.","0"
"El fútbol es una gran manera de desconectar y pasar tiempo con amigos.","0"
"Ayer vi un gol increíble en el partido de la liga, fue impresionante.","0"
"Empecé una nueva serie ayer y ya estoy enganchado.","0"
"Esta temporada ha sido la mejor de la serie hasta ahora.","0"
"Los personajes de esta serie tienen un desarrollo impresionante.","0"
"Cada episodio te deja con ganas de más, no puedo esperar a ver el siguiente.","0"
"Me encanta la cinematografía y el estilo visual de esta serie.","0"
"La serie que estoy viendo tiene una trama muy compleja pero emocionante.","0"
"He visto recomendaciones de esta serie en todas partes, así que decidí empezarla.","0"
"La primera temporada fue buena, pero la segunda es aún mejor.","0"
"Esta serie tiene uno de los mejores guiones que he visto últimamente.","0"
"Me gusta cómo cada episodio tiene un giro inesperado.","0"
"El final de temporada fue sorprendente, no me lo esperaba para nada.","0"
"He visto esta serie varias veces y nunca me aburro.","0"
"La banda sonora de esta serie es increíble y se ajusta perfectamente a las escenas.","0"
"Los actores hacen un trabajo increíble interpretando a sus personajes.","0"
"Es una serie que recomendaría a cualquiera, tiene algo para todos.","0"
"El último episodio que vi me dejó pensando durante horas.","0"
"Esta serie ha sido una montaña rusa emocional, pero vale la pena.","0"
"Cada vez que creo que sé lo que va a pasar, la serie me sorprende.","0"
"Los efectos especiales en esta serie son espectaculares.","0"
"La serie que estoy viendo ahora está basada en un libro que leí hace tiempo.","0"
"El villano de esta serie es uno de los personajes más interesantes que he visto.","0"
"Me gusta cómo los personajes evolucionan a lo largo de la serie.","0"
"Esta serie tiene una forma única de contar historias, me encanta.","0"
"Los capítulos duran lo justo, no se sienten ni muy cortos ni muy largos.","0"
"La serie tiene un buen equilibrio entre drama y humor.","0"
"Cada temporada mejora más que la anterior.","0"
"Esta serie tiene una ambientación histórica que te transporta a otra época.","0"
"Los diálogos en esta serie son brillantes, muy bien escritos.","0"
"La serie toca temas muy actuales y hace reflexionar al espectador.","0"
"Es una serie perfecta para ver en maratón, no puedes dejar de verla.","0"
"Me gusta que la trama esté bien estructurada, no deja cabos sueltos.","0"
"El protagonista de esta serie es muy carismático y fácil de empatizar.","0"
"Las escenas de acción en esta serie están muy bien coreografiadas.","0"
"El misterio en esta serie te mantiene enganchado desde el primer capítulo.","0"
"La serie tiene un ritmo lento pero está llena de detalles que valen la pena.","0"
"Me encanta cómo mezclan la fantasía con la realidad en esta serie.","0"
"Esta serie me ha enseñado mucho sobre historia sin ser aburrida.","0"
"Me gusta ver cómo cada personaje tiene su propia historia y evolución.","0"
"El final de la serie fue sorprendente pero satisfactorio.","0"
"Cada episodio está lleno de suspense, no puedo parar de ver.","0"
"La química entre los actores hace que la serie sea aún mejor.","0"
"Es una serie que he recomendado a varios amigos y todos la han disfrutado.","0"
"Los paisajes y las locaciones de esta serie son impresionantes.","0"
"Es una serie que tiene un mensaje profundo sobre la vida.","0"
"Me gusta cómo el guion sabe equilibrar momentos intensos con otros más relajados.","0"
"Los capítulos no son predecibles, lo que hace que siempre quiera ver el siguiente.","0"
"Me gusta que la serie aborde temas complicados de una manera accesible.","0"
"La serie tiene un buen equilibrio entre personajes masculinos y femeninos.","0"
"Los directores de esta serie han hecho un trabajo excepcional.","0"
"El diseño de vestuario en esta serie es muy detallado y acorde a la trama.","0"
"Hoy tuve una reunión productiva con mi equipo y avanzamos bastante.","0"
"Estoy muy contento con el proyecto en el que estoy trabajando.","0"
"He logrado completar todas mis tareas del día antes de lo previsto.","0"
"Me siento satisfecho con el progreso que hemos hecho en el proyecto esta semana.","0"
"He aprendido mucho en mi trabajo actual y me siento más preparado para nuevos retos.","0"
"Me gusta el ambiente de trabajo en mi oficina, es muy colaborativo.","0"
"Hoy recibí reconocimiento por el esfuerzo que he puesto en mi proyecto.","0"
"Estoy disfrutando el trabajo en equipo, mis compañeros son muy profesionales.","0"
"Me he propuesto mejorar mi productividad y lo estoy logrando.","0"
"El trabajo que estoy haciendo ahora es realmente interesante y desafiante.","0"
"Hoy logré resolver un problema que llevaba días intentando solucionar.","0"
"Estoy muy enfocado en alcanzar mis metas profesionales este año.","0"
"He aprendido nuevas habilidades que me han ayudado a mejorar en mi trabajo.","0"
"El apoyo que recibo de mi equipo me ha motivado mucho últimamente.","0"
"Estoy contento con el equilibrio que tengo entre mi vida laboral y personal.","0"
"Hoy tuve una reunión muy inspiradora con mis colegas.","0"
"He alcanzado los objetivos que me había propuesto para este mes.","0"
"El nuevo proyecto en el que estoy trabajando es muy innovador.","0"
"He gestionado mi tiempo de manera más eficiente esta semana.","0"
"El curso de formación que hice recientemente me ha dado nuevas ideas para mejorar en mi trabajo.","0"
"Estoy avanzando bien en mi carrera profesional y eso me motiva.","0"
"Me siento satisfecho con los logros que he obtenido en mi empleo actual.","0"
"He tenido una semana bastante productiva y me siento bien al respecto.","0"
"Hoy terminé una tarea importante que me tenía preocupado desde hace días.","0"
"Estoy aprendiendo mucho de mis compañeros de trabajo, su experiencia es valiosa.","0"
"La nueva tecnología que estamos implementando ha mejorado nuestra productividad.","0"
"He sido capaz de organizar mi trabajo mejor y ser más eficiente.","0"
"Hoy logré cerrar un trato importante para la empresa.","0"
"Estoy contento con el progreso que hemos hecho en el proyecto grupal.","0"
"He empezado a planificar mis metas profesionales a largo plazo.","0"
"He recibido feedback positivo por parte de mis superiores y eso me anima a seguir mejorando.","0"
"El ambiente de trabajo es muy motivador, lo que me ayuda a rendir más.","0"
"Me siento más confiado en mis habilidades gracias a la experiencia que estoy ganando.","0"
"El esfuerzo que he puesto en mi trabajo ha sido reconocido por mis colegas.","0"
"Estoy disfrutando el desafío de aprender nuevas técnicas en mi campo.","0"
"El proyecto en el que estoy involucrado tiene un gran impacto en la empresa.","0"
"Me gusta la forma en que mi jefe gestiona el equipo, es muy eficiente.","0"
"Hoy recibí una nueva responsabilidad en el trabajo y me siento listo para asumirla.","0"
"Estoy trabajando en mejorar mis habilidades de gestión del tiempo.","0"
"El trabajo remoto me ha permitido ser más productivo y estar más enfocado.","0"
"He aprendido a delegar tareas y gestionar mejor a mi equipo.","0"
"Hoy participé en una sesión de brainstorming muy creativa con mis colegas.","0"
"Me siento motivado para seguir aprendiendo y mejorando en mi carrera.","0"
"El proyecto en el que estoy ahora es un reto, pero lo disfruto mucho.","0"
"He logrado equilibrar mis responsabilidades laborales y personales de manera efectiva.","0"
"El equipo en el que trabajo es muy unido, lo que facilita la colaboración.","0"
"Hoy completé un informe importante y me siento aliviado por haberlo terminado a tiempo.","0"
"Me gusta el enfoque en innovación que tiene mi empresa.","0"
"He sido capaz de cumplir con todos los plazos y entregar mi trabajo a tiempo.","0"
"El amor es un sentimiento que crece con el respeto y la confianza mutuos.","0"
"Amar a alguien significa aceptarlo con sus virtudes y defectos.","0"
"El amor verdadero se construye con paciencia, comprensión y apoyo.","0"
"Una relación sana se basa en la comunicación y el respeto mutuo.","0"
"El amor es un compromiso diario para hacer feliz a la otra persona.","0"
"El amor nos enseña a ser mejores personas y a dar sin esperar nada a cambio.","0"
"En una relación, lo más importante es apoyarse mutuamente en los momentos difíciles.","0"
"El amor es un sentimiento que se fortalece con el tiempo y las experiencias compartidas.","0"
"Una pareja feliz es aquella que se entiende y se apoya en los buenos y malos momentos.","0"
"El amor verdadero no es perfecto, pero siempre busca crecer y mejorar.","0"
"En el amor, lo más importante es la confianza que se construye con el tiempo.","0"
"El amor es la base de cualquier relación que aspire a durar en el tiempo.","0"
"Una relación sana es aquella en la que ambas personas se respetan y se valoran mutuamente.","0"
"El amor es la fuerza que nos impulsa a ser mejores cada día.","0"
"El amor verdadero no busca la perfección, sino la felicidad compartida.","0"
"Una pareja feliz se construye con pequeños gestos de cariño y respeto diario.","0"
"El amor se demuestra a través de acciones, no solo con palabras.","0"
"Una relación fuerte se basa en la comunicación abierta y sincera.","0"
"El amor verdadero es aquel que acepta a la otra persona tal como es.","0"
"En el amor, lo importante no es estar de acuerdo en todo, sino respetar las diferencias.","0"
"Una pareja unida es aquella que supera juntos los obstáculos de la vida.","0"
"El amor es un compromiso mutuo de cuidar y respetar a la otra persona.","0"
"El amor no se trata de encontrar a alguien perfecto, sino de construir algo perfecto juntos.","0"
"El respeto es la base de cualquier relación amorosa duradera.","0"
"Una relación saludable se nutre de confianza, comunicación y empatía.","0"
"El amor es un lazo que se fortalece con el tiempo y la dedicación.","0"
"Amar a alguien es comprometerse a estar a su lado en los buenos y malos momentos.","0"
"El amor verdadero es paciente y siempre busca lo mejor para la otra persona.","0"
"Una relación amorosa crece cuando ambos trabajan juntos por el bienestar común.","0"
"El amor es un viaje que se construye día a día, con respeto y comprensión.","0"
"El amor verdadero no es posesivo, es libre y respeta la individualidad del otro.","0"
"En el amor, lo más valioso es el tiempo y el esfuerzo que se invierte en la relación.","0"
"Una relación sana es aquella en la que ambos se apoyan y se motivan a ser mejores.","0"
"El amor verdadero es incondicional, no exige nada a cambio.","0"
"Una relación basada en el respeto mutuo siempre será más fuerte.","0"
"El amor nos enseña a ser generosos y comprensivos con la otra persona.","0"
"El amor verdadero no teme las dificultades, las enfrenta con valentía y comprensión.","0"
"Una pareja fuerte es aquella que crece y evoluciona juntos.","0"
"El amor es un camino que se recorre de la mano de alguien que te respeta y valora.","0"
"El amor nos motiva a ser mejores cada día por la persona que amamos.","0"
"El amor verdadero no es efímero, es constante y duradero.","0"
"En una relación sana, ambos se preocupan por el bienestar del otro.","0"
"El amor es la mayor fuente de felicidad cuando se comparte de manera sincera.","0"
"Una relación basada en la honestidad siempre será más sólida.","0"
"El amor es la clave para superar cualquier desafío juntos.","0"
"Una relación sana es aquella en la que ambos se apoyan y se motivan mutuamente.","0"
"El amor es una decisión diaria de cuidar y valorar a la otra persona.","0"
"El amor nos enseña a ser pacientes, generosos y comprensivos.","0"
"Una pareja feliz es aquella que construye un futuro juntos basado en el respeto y la confianza.","0"
"La fama puede ser una oportunidad para inspirar a otros y marcar una diferencia.","0"
"Ser famoso puede abrir puertas a oportunidades únicas y emocionantes.","0"
"La fama permite a las personas compartir sus talentos y habilidades con el mundo.","0"
"Una de las ventajas de la fama es tener una plataforma para influir positivamente en la sociedad.","0"
"La fama puede ayudar a las personas a crear conciencia sobre causas importantes.","0"
"Ser famoso puede brindar la oportunidad de conocer a muchas personas influyentes.","0"
"La fama puede ser una manera de impactar el mundo a través del arte, la música o el cine.","0"
"Los famosos tienen el poder de influir en las tendencias culturales y sociales.","0"
"La fama puede proporcionar reconocimiento por el arduo trabajo y el talento.","0"
"Ser famoso permite a las personas dejar un legado duradero en su industria.","0"
"La fama puede brindar acceso a recursos y oportunidades que de otro modo serían difíciles de alcanzar.","0"
"Los famosos pueden usar su influencia para apoyar a organizaciones benéficas y causas humanitarias.","0"
"La fama puede ser una forma de ganar respeto y admiración por los logros personales.","0"
"Ser famoso puede proporcionar la libertad de perseguir proyectos creativos y artísticos.","0"
"La fama puede permitir a las personas conectarse con sus seguidores de manera significativa.","0"
"Los famosos tienen la capacidad de unir a las personas a través de su trabajo.","0"
"Ser famoso puede ser una forma de alcanzar metas profesionales y personales.","0"
"La fama puede ayudar a los artistas a difundir su mensaje y visión a un público global.","0"
"Los famosos pueden inspirar a otros a perseguir sus propios sueños y aspiraciones.","0"
"La fama puede ser una plataforma para hablar sobre temas sociales y generar cambios.","0"
"Ser famoso permite a las personas ser reconocidas por su dedicación y esfuerzo.","0"
"La fama puede ofrecer oportunidades para colaborar con otros artistas y profesionales.","0"
"Los famosos pueden usar su visibilidad para educar a las personas sobre temas importantes.","0"
"Ser famoso puede ser una forma de obtener recursos para proyectos filantrópicos.","0"
"La fama puede proporcionar la capacidad de conectar con personas de diferentes culturas y países.","0"
"Los famosos pueden utilizar su plataforma para fomentar la unidad y la comprensión.","0"
"Ser famoso puede ser una forma de motivar a otros a ser perseverantes y a trabajar duro.","0"
"La fama puede proporcionar a las personas la capacidad de cambiar vidas a través de su trabajo.","0"
"Los famosos pueden servir de ejemplo para jóvenes que buscan inspiración y guía.","0"
"La fama puede permitir a las personas usar su éxito para ayudar a los demás.","0"
"Ser famoso puede ser una forma de compartir talentos y pasiones con el mundo.","0"
"La fama puede proporcionar una plataforma para defender la justicia y la igualdad.","0"
"Los famosos pueden usar su influencia para promover el arte, la música y la cultura.","0"
"Ser famoso puede brindar la oportunidad de ser embajador de causas importantes.","0"
"La fama puede ayudar a las personas a alcanzar el éxito en su carrera profesional.","0"
"Los famosos tienen la capacidad de tocar los corazones de millones de personas.","0"
"Ser famoso puede permitir a las personas crear un impacto duradero en su comunidad.","0"
"La fama puede ofrecer oportunidades para viajar y aprender sobre otras culturas.","0"
"Los famosos pueden usar su plataforma para educar sobre temas como el medio ambiente y los derechos humanos.","0"
"Ser famoso puede proporcionar la libertad de explorar diferentes facetas de la creatividad.","0"
"La fama puede permitir a las personas influir en el futuro de su industria.","0"
"Los famosos pueden ser líderes de opinión en temas que afectan a la sociedad.","0"
"Ser famoso puede proporcionar la oportunidad de dejar una huella positiva en el mundo.","0"
"La fama puede ser una herramienta poderosa para cambiar la percepción pública sobre ciertos temas.","0"
"Los famosos pueden usar su plataforma para promover el cambio social y la igualdad.","0"
"Ser famoso puede proporcionar una red de contactos profesionales que ayuden a alcanzar nuevas metas.","0"
"La fama puede ofrecer la oportunidad de colaborar con organizaciones benéficas a gran escala.","0"
"Los famosos pueden servir de modelo a seguir para las nuevas generaciones.","0"
"Ser famoso puede brindar la oportunidad de ser parte de algo más grande que uno mismo.","0"
"Claro, todos llegarán a la hora acordada... seguro.","1"
"Nada como organizar una cena y que la mitad cancele a última hora.","1"
"¡Oh, genial! Todos olvidaron traer lo que prometieron.","1"
"Qué suerte, el único día que puedo, nadie más puede.","1"
"Ah, claro, porque siempre es fácil ponerse de acuerdo en un restaurante.","1"
"Increíble, alguien olvidó decir que no podía venir... de nuevo.","1"
"Lo mejor de salir en grupo es que nadie sabe lo que quiere hacer.","1"
"¡Qué sorpresa! El mismo que llega tarde siempre lo hace otra vez.","1"
"Oh, claro, dividir la cuenta es lo más sencillo del mundo, ¿verdad?","1"
"Nada dice diversión como esperar horas a que todos decidan qué hacer.","1"
"Qué afortunado soy de ser siempre el que organiza todo.","1"
"Ah, sí, qué divertido es que nadie lea los mensajes del grupo.","1"
"Qué emocionante es cuando todos cambian los planes en el último minuto.","1"
"Increíble cómo las opiniones de todos son tan útiles... para nada.","1"
"¡Qué sorpresa! Alguien olvidó que teníamos una quedada hoy.","1"
"Ah, sí, porque salir en grupo es la mejor forma de relajarse.","1"
"Qué alivio es cuando todos se olvidan de contribuir para la comida.","1"
"Ah, claro, organizar algo con amigos es siempre tan fácil.","1"
"Increíble cómo todos proponen cosas y al final nadie hace nada.","1"
"Qué bien que nadie trajo lo que había prometido.","1"
"Ah, claro, otra vez soy el chofer oficial de la noche.","1"
"Qué emoción, todos llegaron tarde... como siempre.","1"
"Oh, qué sorpresa, alguien decidió no venir sin avisar.","1"
"Qué afortunado soy de quedarme esperando a que todos lleguen.","1"
"Ah, perfecto, alguien trajo a un amigo que nadie conoce.","1"
"Qué bien que todos propusieron ideas que nadie quería hacer.","1"
"Increíble cómo nadie tiene efectivo cuando toca pagar.","1"
"¡Qué sorpresa! Una discusión más sobre a dónde ir a comer.","1"
"Ah, sí, claro, porque decidir qué película ver es siempre tan fácil.","1"
"Qué suerte que siempre soy el que tiene que reservar todo.","1"
"Qué alivio que todos siempre se ponen de acuerdo... en nada.","1"
"Increíble cómo siempre acabamos en el mismo lugar de siempre.","1"
"Ah, sí, claro, qué bien que nadie respondió hasta el último minuto.","1"
"Qué bien que todos cambiaron de opinión sobre la hora justo cuando llegué.","1"
"Oh, perfecto, una vez más soy el encargado de organizarlo todo.","1"
"Qué sorpresa, todos se olvidaron de lo que acordamos la última vez.","1"
"Nada como esperar a que todos decidan qué hacer... otra vez.","1"
"Ah, sí, porque a nadie le gusta salir de su zona de confort.","1"
"Qué emocionante es pasar más tiempo organizando que disfrutando.","1"
"Increíble que a pesar de todo, siempre acabamos haciendo lo mismo.","1"
"Qué sorpresa, alguien más decidió cancelar en el último momento.","1"
"Ah, claro, otra vez soy el único que lleva coche.","1"
"Qué alivio, nadie se puso de acuerdo en nada... como siempre.","1"
"Increíble cómo siempre soy el que paga y luego nadie devuelve nada.","1"
"Oh, genial, todos olvidaron el plan original.","1"
"Nada como salir en grupo para que todos lleguen tarde.","1"
"Ah, sí, porque pedir la cuenta es siempre un desafío colectivo.","1"
"Qué emocionante es cuando todo el mundo propone algo diferente al mismo tiempo.","1"
"Increíble, todo el mundo tiene planes... excepto yo.","1"
"Qué bien que la mitad del grupo no aparezca hasta la mitad de la noche.","1"
"Oh, claro, el amor lo arregla todo... especialmente cuando no hay comunicación.","1"
"Qué romántico, dejar todas tus prioridades para que otra persona sea feliz.","1"
"Ah, sí, porque las relaciones siempre son tan fáciles como en las películas.","1"
"Nada como discutir para fortalecer el amor, ¿verdad?","1"
"Qué emocionante es cuando todo el mundo dice que el amor lo puede todo, pero nunca lo demuestra.","1"
"Ah, claro, porque enamorarse a primera vista siempre resulta bien.","1"
"El amor es todo lo que necesitas... a menos que necesites pagar las facturas.","1"
"Qué bien, nada como una relación perfecta donde nunca hay malentendidos... en los cuentos de hadas.","1"
"Oh, el amor eterno, ese que dura... ¿hasta la primera discusión?","1"
"Ah, sí, porque las mariposas en el estómago son más importantes que el respeto mutuo.","1"
"Nada como los consejos de amor de alguien que nunca ha tenido una relación estable.","1"
"Qué suerte, siempre es tan fácil encontrar a la persona perfecta... en tus sueños.","1"
"Ah, claro, porque un beso lo arregla todo, incluso las mayores diferencias.","1"
"Qué bien, todo el mundo sabe que el amor verdadero nunca tiene problemas, ¿cierto?","1"
"Nada como las canciones románticas para recordarte lo lejos que está la realidad.","1"
"Ah, sí, porque el amor lo cura todo... hasta el egoísmo y las mentiras.","1"
"Qué emocionante es cuando alguien te dice que 'el amor es todo lo que importa'.","1"
